ZIP,Geographic Area Name,Number HH,Number Families,Families with Children <18,Families with No Own Children,Married Couple Families,Married Couple with Kids <18,Female Householder,Single Mom,Male Householder,Single Dad,2-Person Families,3-Person Families,4-Person Families,5-Person Families,6-Person Families,7+ Person Families,No Earners,1 Earner,2 Earners,3+ Earners,Non Family Households,Non-Family Female Householder,Single Woman,Single Woman Not Alone,Non-Family Male,Single Male,Single Male Not Alone,Median Income,Median Family Income,Median Family With Children,Median Family No Kids,Median Married,Median Married Kids,Media Married No Kids,Total Pop,Total Pop <5,Total Pop 5-9,Total Pop 10-14,Total Pop 15-19,Total Pop 20-24,Total Pop 25-29,Total Pop 30-34,Total Pop 35-39,Total Pop 40-44,Total Pop 45-49,Total Pop 50-54,Total Pop 55-59,Total Pop 60-64,Total Pop 65-69,Total Pop 70-74,Total Pop 75-79,Total Pop 80-84,Total Pop 85+,Total Pop 5-14,Total Pop 15-17,Total Pop <18,Total Pop 18-24,Total Pop 15-44,Total Pop 16+,Total Pop 18+,Total Pop 21+,Total Pop 60+,Total Pop 62+,Total Pop 65+,Total Pop 75+,Median Age,Males Per 100 Females,Age Dependency Ratio,Old-Age Dependency Ratio,Child Dependency Ratio,Total Pop Male,Median Age Male,Total Pop Female,Median Age Female,ZCTA5,latitude,longitude,area_land_meters,area_water_meters,area_land_sqmi,area_water_sqmi,wealth_score,population_score,children_score,area_score,composite_score,grade,cluster,cluster_id,cluster_radius,cluster_grades,ZIPs in Cluster,Avg Median Income,Total Population,Total Children,Total Area (sq mi)
85212,ZCTA5 85212,15798,13087,6679,6408,11294,5801,1253,560,540,318,4287,3005,3283,1446,611,455,1267,3114,6297,2409,2711,1284,990,294,1427,1028,399,123404.0,133416,138694,128599,139328,148344,76083,50427,3792,3938,4657,3832,2606,3021,3866,4034,3995,3641,3125,2256,2279,1889,1981,842,231,442,8595,2275,14662,4163,21354,37256,35765,33585,7664,6595,5385,1515,34.3,100.8,66.0,17.7,48.3,25309,34.3,25118,34.3,85212,33.326128,-111.630907,91805515.0,76014.0,35.446,0.029,0.2966771668416696,0.3177844857403389,0.2898080799228815,0.9926491695137531,0.4032337049465795,A,12,"A,B_10mi_C13",10,"A,B",22,112367.45,1062951,130138,688.35
63385,ZCTA5 63385,17533,13497,7179,6318,11017,5588,1647,1056,833,535,5121,3003,3335,1393,443,202,1562,3596,6460,1879,4036,1853,1553,300,2183,1744,439,111851.0,123001,130175,115761,136117,150439,65598,50420,3073,4496,4592,3748,2102,2182,3242,3751,4419,3803,3074,2417,2577,2047,1742,1690,877,588,9088,2595,14756,3255,19444,37403,35664,34065,9521,8267,6944,3155,37.1,100.0,75.6,24.2,51.4,25204,36.5,25216,38.1,63385,38.796985,-90.857245,173597668.0,280949.0,67.026,0.108,0.232492763768285,0.3177294594849543,0.3117167645254579,0.9860659006476744,0.3863432736706792,A,29,"A,B_10mi_C31",10,"A,B",19,125140.0,770871,91064,579.51
20850,ZCTA5 20850,21131,12679,5096,7583,9491,3876,2352,922,836,298,6402,2787,2609,698,108,75,1423,4045,6187,1024,8452,5025,4014,1011,3427,2621,806,122691.0,161404,181071,147656,182275,215308,96981,50365,2508,2365,3042,2188,3219,3520,3975,3983,2813,3272,3406,3621,2566,2239,2439,2154,1384,1671,5407,1564,9479,3843,19698,41899,40886,39701,12453,11481,9887,5209,40.8,88.3,62.5,31.9,30.6,23614,38.9,26751,42.4,20850,39.090923,-77.182188,36529387.0,160270.0,14.104,0.062,0.2927159897109396,0.3172971103355029,0.2204451844711243,0.997098191810772,0.3816083025788825,A,16,"A,B_10mi_C17",10,"A,B",153,148184.38,5349926,598194,2520.55
84065,ZCTA5 84065,15522,12584,6263,6321,10837,5510,1029,561,718,192,4315,2478,2177,1985,1066,563,1043,2946,6044,2551,2938,1682,1491,191,1256,800,456,122809.0,135556,127023,142426,142313,140617,81645,50284,3300,5151,4372,3766,2233,2990,3369,3843,4728,2883,2938,2705,2446,2424,1037,872,599,628,9523,2617,15440,3382,20929,36418,34844,33323,8006,7055,5560,2099,35.0,103.9,71.7,19.0,52.7,25620,33.5,24664,36.2,84065,40.493936,-111.943725,53971908.0,5898.0,20.839,0.002,0.2933715561926032,0.3166603779517656,0.2715800543335378,0.9956941919433548,0.3968402653493288,A,19,"A,B_10mi_C21",10,"A,B",21,118480.0,910560,115993,711.77
97206,ZCTA5 97206,21479,11926,5372,6554,8532,3672,2100,1025,1294,675,6174,3049,1916,474,139,174,1151,3578,6281,916,9553,5412,3675,1737,4141,2291,1850,94233.0,109202,116230,105520,132924,143061,64451,50258,2118,2553,2652,1897,2519,3292,5054,5773,5691,4271,3012,2330,2258,2167,2338,1094,644,595,5205,1409,8732,3007,24226,42458,41526,40636,9096,8079,6838,2333,39.3,97.9,44.9,19.7,25.2,24868,39.2,25390,39.5,97206,45.482433,-122.598605,16924530.0,5734.0,6.535,0.002,0.1346133546670222,0.3164559947174795,0.2325387783717465,0.9986760500136648,0.3299689140905273,B,25,"A,B_10mi_C27",10,"A,B",22,115982.23,886704,104100,481.85
77581,ZCTA5 77581,17739,13219,6422,6797,10789,5172,1745,998,685,252,5073,3059,3213,1161,627,86,1279,3859,6044,2037,4520,2107,1828,279,2413,1977,436,106556.0,131690,133294,128365,144800,154846,63617,50240,2952,3930,4022,3465,2672,2846,3259,4162,3572,3433,3412,3116,2841,2330,1734,1242,555,697,7952,2487,13391,3650,19976,38516,36849,35173,9399,8187,6558,2494,37.4,98.0,65.9,21.6,44.2,24864,36.8,25376,37.9,77581,29.561597,-95.279759,66757290.0,113542.0,25.775,0.044,0.2030756068156692,0.3163144986322045,0.2785470160371571,0.994665217430278,0.367103249537614,A,7,"A,B_10mi_C8",10,"A,B",9,112927.89,494508,63856,383.66
97223,ZCTA5 97223,20835,13339,6008,7331,10075,4310,2383,1261,881,437,6470,3458,2180,795,342,94,1404,4115,6309,1511,7496,3692,2879,813,3804,2363,1441,108040.0,129175,133056,126033,147201,165864,64821,50226,2725,2234,2993,2914,2824,3533,3959,4071,4107,3566,3584,3147,3108,2795,2095,1311,807,453,5227,2000,9952,3738,21408,41496,40274,38841,10569,9410,7461,2571,39.7,101.8,53.1,22.7,30.3,25335,38.5,24891,40.9,97223,45.44029,-122.776604,30018259.0,17348.0,11.59,0.007,0.2113201886698112,0.3162044461214351,0.2604066251862239,0.9976222683759818,0.3649682830709854,A,25,"A,B_10mi_C27",10,"A,B",22,115982.23,886704,104100,481.85
11205,ZCTA5 11205,17272,8861,4645,4216,5640,3181,2588,1256,633,208,3819,1773,1223,571,557,918,989,2948,4405,519,8411,5247,3689,1558,3164,1822,1342,86753.0,90685,70839,112115,141250,129735,59917,50205,4487,4083,3827,4280,3626,4104,5246,4290,3073,2817,2008,1874,1832,1293,1064,902,796,603,7910,2078,14475,5828,24619,37026,35730,32845,6490,5498,4658,2301,30.5,86.5,61.6,15.0,46.6,23282,29.3,26923,31.3,11205,40.694662,-73.966241,2447352.0,0.0,0.945,0.0,0.0930571065073306,0.316039367355281,0.2006835509596004,0.9998413594804596,0.305959129958571,B,2,"A,B_10mi_C3",10,"A,B",373,143120.8,12435574,1284148,4745.44
75154,ZCTA5 75154,16619,12994,5474,7520,10154,4170,2063,954,777,350,5260,2760,2052,1666,827,429,1199,3697,5458,2640,3625,1893,1790,103,1732,1450,282,96150.0,109530,101275,116098,120381,114253,73438,50178,3142,3477,4013,3516,3322,3096,3149,2976,3673,3447,3463,3560,3435,2364,1353,1091,765,336,7490,2247,12879,4591,19732,38944,37299,35385,9344,7759,5909,2192,37.1,103.9,59.9,18.8,41.0,25574,36.5,24604,38.8,75154,32.524259,-96.809069,121745990.0,69147.0,47.006,0.027,0.1452635321699806,0.3158271232273685,0.2370081500306721,0.9902393345520094,0.3336460060969699,B,8,"A,B_10mi_C9",10,"A,B",11,105761.0,544352,63743,326.5
84020,ZCTA5 84020,16325,12020,6023,5997,10175,5191,1299,538,546,294,4641,2289,2159,1618,950,363,1103,3631,5227,2059,4305,2193,1760,433,2112,1583,529,130680.0,144471,153836,139522,153750,173287,107212,50159,3363,4017,4217,4610,2693,3310,3751,3340,4161,3816,3068,2645,2145,1476,1844,635,665,403,8234,3488,15085,3815,21865,37153,35074,33412,7168,6298,5023,1703,33.7,106.9,66.9,16.7,50.2,25912,32.6,24247,34.7,84020,40.500151,-111.869623,65221464.0,38827.0,25.182,0.015,0.3371000627788241,0.3156777662484671,0.2610638857243011,0.9947888361268448,0.4086580663585989,A,19,"A,B_10mi_C21",10,"A,B",21,118480.0,910560,115993,711.77
