ZIP,Geographic Area Name,Number HH,Number Families,Families with Children <18,Families with No Own Children,Married Couple Families,Married Couple with Kids <18,Female Householder,Single Mom,Male Householder,Single Dad,2-Person Families,3-Person Families,4-Person Families,5-Person Families,6-Person Families,7+ Person Families,No Earners,1 Earner,2 Earners,3+ Earners,Non Family Households,Non-Family Female Householder,Single Woman,Single Woman Not Alone,Non-Family Male,Single Male,Single Male Not Alone,Median Income,Median Family Income,Median Family With Children,Median Family No Kids,Median Married,Median Married Kids,Media Married No Kids,Total Pop,Total Pop <5,Total Pop 5-9,Total Pop 10-14,Total Pop 15-19,Total Pop 20-24,Total Pop 25-29,Total Pop 30-34,Total Pop 35-39,Total Pop 40-44,Total Pop 45-49,Total Pop 50-54,Total Pop 55-59,Total Pop 60-64,Total Pop 65-69,Total Pop 70-74,Total Pop 75-79,Total Pop 80-84,Total Pop 85+,Total Pop 5-14,Total Pop 15-17,Total Pop <18,Total Pop 18-24,Total Pop 15-44,Total Pop 16+,Total Pop 18+,Total Pop 21+,Total Pop 60+,Total Pop 62+,Total Pop 65+,Total Pop 75+,Median Age,Males Per 100 Females,Age Dependency Ratio,Old-Age Dependency Ratio,Child Dependency Ratio,Total Pop Male,Median Age Male,Total Pop Female,Median Age Female,ZCTA5,latitude,longitude,area_land_meters,area_water_meters,area_land_sqmi,area_water_sqmi,wealth_score,population_score,children_score,area_score,composite_score,grade,cluster,cluster_id,cluster_radius,cluster_grades,ZIPs in Cluster,Avg Median Income,Total Population,Total Children,Total Area (sq mi)
77494,ZCTA5 77494,42600,36236,22887,13349,32380,20626,2977,1853,879,408,8917,8928,11840,5091,994,466,2722,12184,17071,4259,6364,3821,3276,545,2543,2140,403,146105.0,160312,169535,141221,171718,174309,75864,137213,8864,12064,14874,11312,5806,4449,5790,10143,15004,13508,10609,7198,5266,4521,3167,2223,1170,1245,26938,8300,44102,8818,52504,97989,93111,89146,17592,15598,12326,4638,38.3,95.8,69.8,15.3,54.6,67127,38.5,70086,37.9,77494,29.743948,-95.830502,105829656.0,587248.0,40.861,0.227,0.4227959354878137,1.0,1.0000000000000002,0.9915203411125556,0.7967066285876182,A,0,A_10mi_C1,10,A,23,121835.35,1705912,236425,838.1
77449,ZCTA5 77449,39327,29814,16382,13432,21006,11134,5777,3461,3031,1787,10007,7128,5693,4659,1601,726,1766,9778,12000,6270,9513,4679,4027,652,4834,3652,1182,85934.0,91466,84670,98859,104598,104907,59820,123042,8855,9635,11513,7918,6895,8719,9036,11659,9665,8225,8008,7113,6458,3681,2193,1718,1227,524,21148,5513,35516,9300,53892,91014,87526,83742,15801,13673,9343,3469,34.3,97.7,57.4,12.0,45.4,60810,33.6,62232,34.9,77449,29.837611,-95.73374,77385924.0,331849.0,29.879,0.128,0.0885070306727334,0.8886032764204634,0.7149680133204802,0.9938096843262124,0.5722599726646254,A,0,A_10mi_C1,10,A,23,121835.35,1705912,236425,838.1
78660,ZCTA5 78660,42673,30392,17159,13233,24922,14268,3934,1914,1536,977,10719,7305,6123,3296,2328,621,1257,7088,17081,4966,12281,6782,4929,1853,5499,3993,1506,109522.0,122877,130923,112440,132811,141425,77822,118437,6866,7817,11589,8534,5154,8834,9209,10548,11414,9809,8456,6619,4815,3376,2949,1253,638,557,19406,5711,31983,7977,53693,90689,86454,82541,13588,11753,8773,2448,35.6,101.6,52.5,11.3,41.2,59687,35.2,58750,35.9,78660,30.43963,-97.594687,117709354.0,60708.0,45.448,0.023,0.2195536592276538,0.8524038612709492,0.749014109192884,0.9905641202674416,0.6206134037818501,A,1,A_10mi_C2,10,A,17,135901.94,908314,127667,705.94
77433,ZCTA5 77433,33441,28557,16997,11560,24057,14596,3434,1701,1066,700,8415,6262,8033,3360,1616,871,1771,8963,13561,4262,4884,3306,2772,534,1578,1285,293,137348.0,144684,151741,137264,160424,167397,63154,112211,9704,12502,10442,8731,4383,4701,8013,10952,8871,8211,6931,5644,4480,3639,2483,1671,451,402,22944,5598,38246,7516,45651,78046,73965,69645,13126,11050,8646,2524,33.6,102.0,71.8,13.2,58.6,56654,31.6,55557,35.2,77433,29.945301,-95.741369,151412316.0,2089420.0,58.461,0.807,0.3741451246409662,0.8034619375530612,0.7419156953816493,0.987851388229624,0.6623955979838887,A,0,A_10mi_C1,10,A,23,121835.35,1705912,236425,838.1
77084,ZCTA5 77084,36216,27139,13477,13662,18603,8656,6131,3576,2405,1245,8791,7218,5270,3214,1733,913,2001,8474,11736,4928,9077,5029,4080,949,4048,3339,709,76327.0,85515,68484,96657,97075,91536,51359,109115,6227,8459,9778,8817,7128,8689,8668,7578,7504,7026,7584,6002,5004,4530,2924,1766,772,659,18237,5357,29821,10588,48384,82824,79294,74493,15655,13698,10651,3197,33.2,94.8,59.0,15.5,43.4,53101,32.6,56014,33.9,77084,29.827486,-95.65992,79400405.0,301381.0,30.657,0.116,0.0351339188986483,0.7791246108857655,0.587678555779511,0.9936474999317284,0.4934724855152925,A,0,A_10mi_C1,10,A,23,121835.35,1705912,236425,838.1
11368,ZCTA5 11368,29859,22321,9396,12925,12144,5506,5636,2447,4541,1443,6850,5014,4974,2722,1454,1307,2013,6957,8070,5281,7538,3606,2816,790,3932,2481,1451,71798.0,70817,56349,77497,75100,74524,57101,107060,7039,7220,7342,7330,6059,8754,9531,8048,7787,7474,6798,6040,4789,4570,2954,2283,1430,1612,14562,4739,26340,8650,47509,84095,80720,76577,17638,15609,12849,5325,35.1,108.0,57.7,18.9,38.8,55585,35.3,51475,34.9,11368,40.749737,-73.853045,6810481.0,99467.0,2.63,0.038,0.009972388428696,0.7629704744835393,0.4088598720532819,0.9994900989345652,0.4286659073029208,A,2,A_10mi_C3,10,A,169,162581.43,6272926,654680,1858.13
11385,ZCTA5 11385,37586,23851,8830,15021,15006,5873,6103,2210,2742,747,9174,6243,4961,2134,1061,278,2836,7074,9681,4260,13735,7258,4696,2562,6477,4026,2451,87365.0,89695,81111,94797,100224,103413,69283,103865,5852,5418,5979,5145,7319,9526,10565,8688,7310,6232,7003,6626,5417,4753,3301,1916,1344,1471,11397,3012,20261,9452,48553,85364,83604,80248,18202,16084,12785,4731,36.1,97.0,46.7,18.1,28.6,51143,36.3,52722,35.8,11385,40.700647,-73.889423,9365112.0,82983.0,3.616,0.032,0.0964571631749418,0.7378549193472315,0.3840592410831654,0.9992845541878282,0.4464414464337998,A,2,A_10mi_C3,10,A,169,162581.43,6272926,654680,1858.13
92336,ZCTA5 92336,28225,24649,12479,12170,18031,9619,4519,2135,2099,725,5978,5760,6577,3785,1782,767,1826,7287,9968,5568,3576,1821,1315,506,1755,1311,444,121989.0,120602,116589,125980,138770,136532,77694,103393,6688,7040,8426,8779,6670,6782,7269,8726,8658,7014,6555,5907,4638,4292,2698,1428,1147,676,15466,6080,28234,9369,46884,79353,75159,71410,14879,12927,10241,3251,35.0,98.5,59.3,15.8,43.5,51309,33.7,52084,36.1,92336,34.147718,-117.464506,64485907.0,189585.0,24.898,0.073,0.2888159247098563,0.7341445775555766,0.5439488213127683,0.9948480396847286,0.5603263415061048,A,3,A_10mi_C4,10,A,99,131564.19,5045698,519871,1589.84
37013,ZCTA5 37013,38239,23920,12536,11384,15564,8168,5854,3446,2502,922,8607,5517,4603,2875,1291,1027,1110,7353,11444,4013,14319,7442,6159,1283,6877,4863,2014,72233.0,81444,64296,93881,86561,72360,60549,102055,7819,9153,8280,6330,6259,8429,9695,8005,9010,7017,5167,4706,4458,3356,2350,1022,625,374,17433,4021,29273,8568,47728,75443,72782,69533,12185,10573,7727,2021,32.3,96.7,56.9,11.9,45.0,50162,32.1,51893,32.5,37013,36.051845,-86.630396,104055102.0,13491689.0,40.176,5.209,0.0123890953738118,0.7236267018834701,0.5464464113574621,0.9916631384264654,0.4617449179287366,A,4,A_10mi_C5,10,A,7,111997.14,410726,50045,341.33
90650,ZCTA5 90650,26801,21705,8962,12743,14342,6313,4760,1741,2603,908,5176,4956,4754,3975,1746,1098,1908,5463,8111,6223,5096,2778,2301,477,2318,1564,754,98709.0,104096,97067,109387,117978,120399,71026,100808,6444,6045,6308,6933,6606,7639,8193,7251,6591,6148,6890,5582,6488,5162,3128,2016,1317,2067,12353,4282,23079,9257,43213,80710,77729,73515,20178,17768,13690,5400,36.5,102.3,57.4,21.4,36.0,50969,35.1,49839,37.9,90650,33.9076,-118.082645,25408311.0,96906.0,9.81,0.037,0.1594804357850408,0.713824167531365,0.3898431338182456,0.9979933329289148,0.4652349261158481,A,3,A_10mi_C4,10,A,99,131564.19,5045698,519871,1589.84
