ZIP,Geographic Area Name,Number HH,Number Families,Families with Children <18,Families with No Own Children,Married Couple Families,Married Couple with Kids <18,Female Householder,Single Mom,Male Householder,Single Dad,2-Person Families,3-Person Families,4-Person Families,5-Person Families,6-Person Families,7+ Person Families,No Earners,1 Earner,2 Earners,3+ Earners,Non Family Households,Non-Family Female Householder,Single Woman,Single Woman Not Alone,Non-Family Male,Single Male,Single Male Not Alone,Median Income,Median Family Income,Median Family With Children,Median Family No Kids,Median Married,Median Married Kids,Media Married No Kids,Total Pop,Total Pop <5,Total Pop 5-9,Total Pop 10-14,Total Pop 15-19,Total Pop 20-24,Total Pop 25-29,Total Pop 30-34,Total Pop 35-39,Total Pop 40-44,Total Pop 45-49,Total Pop 50-54,Total Pop 55-59,Total Pop 60-64,Total Pop 65-69,Total Pop 70-74,Total Pop 75-79,Total Pop 80-84,Total Pop 85+,Total Pop 5-14,Total Pop 15-17,Total Pop <18,Total Pop 18-24,Total Pop 15-44,Total Pop 16+,Total Pop 18+,Total Pop 21+,Total Pop 60+,Total Pop 62+,Total Pop 65+,Total Pop 75+,Median Age,Males Per 100 Females,Age Dependency Ratio,Old-Age Dependency Ratio,Child Dependency Ratio,Total Pop Male,Median Age Male,Total Pop Female,Median Age Female,ZCTA5,latitude,longitude,area_land_meters,area_water_meters,area_land_sqmi,area_water_sqmi,wealth_score,population_score,children_score,area_score,composite_score,grade,cluster,cluster_id,cluster_radius,cluster_grades,ZIPs in Cluster,Avg Median Income,Total Population,Total Children,Total Area (sq mi)
33594,ZCTA5 33594,13202,9730,3682,6048,7464,2896,1745,597,521,189,4485,2292,1595,936,386,36,1529,2775,4005,1421,3472,2416,1991,425,1056,675,381,91969.0,103788,114519,100743,121566,128214,61834,36289,1678,1639,2452,2721,2047,1882,1984,1907,2544,2218,3333,3302,2234,2199,1738,1144,607,660,4091,1658,7427,3110,13085,30000,28862,27478,8582,7882,6348,2411,43.2,85.3,61.2,28.2,33.0,16708,40.8,19581,45.1,33594,27.940934,-82.242479,26817980.0,1120500.0,10.354,0.433,0.1220353672561209,0.2066471716504732,0.1584874244150381,0.997879928930715,0.2812700295338556,C,14,"B,C_5mi_C18",5,"B,C",5,91876.0,209927,22826,73.98
78232,ZCTA5 78232,15525,9091,3662,5429,6872,2306,1703,1014,516,342,4512,2117,1530,751,139,42,1045,3370,3724,952,6434,3807,3073,734,2627,1958,669,84633.0,112581,109857,114969,133592,152679,63618,36277,2108,2659,2208,1588,1981,2838,2840,2694,2287,2056,2278,2525,1763,2187,1793,1244,576,652,4867,932,7907,2637,14228,29011,28370,27375,8215,7391,6452,2472,38.3,97.7,65.5,29.4,36.1,17929,36.6,18348,39.7,78232,29.588638,-98.474585,31176961.0,65994.0,12.037,0.025,0.0812791324299849,0.2065528409269565,0.157611077030935,0.9975290853112846,0.2666709504418593,C,38,"B,C_5mi_C49",5,"B,C",5,97516.0,176973,19985,59.31
44039,ZCTA5 44039,13918,9994,4139,5855,7779,2861,1627,893,588,385,5116,1945,1901,712,257,63,1666,2786,4603,939,3924,1993,1758,235,1931,1591,340,94128.0,105040,117860,99807,117628,142256,63849,36235,2363,2344,2610,1606,1919,1824,2381,2596,2558,2085,2216,2516,2189,2024,2135,1385,808,676,4954,1169,8486,2356,12884,28583,27749,27091,9217,8532,7028,2869,41.1,102.1,74.9,33.9,41.0,18307,39.0,17928,42.9,44039,41.386317,-82.022821,61274711.0,403719.0,23.658,0.156,0.1340300116113046,0.2062226833946483,0.178511962141793,0.9951065340923896,0.2909746094992826,C,97,"B,C_5mi_C98",5,"B,C",3,110306.67,86773,11171,55.6
94124,ZCTA5 94124,10982,7951,3629,4322,4386,1986,2963,1412,602,231,2673,1701,1557,867,756,397,1032,2403,2693,1823,3031,1612,1384,228,1419,994,425,82928.0,84573,67409,103023,118889,113929,58148,36226,1808,2364,2357,2692,1622,2455,2877,2781,2262,2390,3005,1968,2366,1579,1651,854,570,625,4721,1885,8414,2429,14689,29052,27812,26720,7645,6672,5279,2049,38.5,94.7,60.8,23.4,37.3,17621,36.9,18605,40.2,94124,37.728895,-122.382779,12765980.0,2804039.0,4.929,1.083,0.0718067523347611,0.2061519353520108,0.156165103847165,0.9990108419642324,0.2630639078363529,C,49,"B,C_5mi_C39",5,"B,C",6,109850.67,237964,15515,19.29
77009,ZCTA5 77009,15241,8758,3645,5113,6169,2530,1583,701,1006,414,3702,2440,1670,666,166,114,857,2811,4068,1022,6483,2974,2637,337,3509,2819,690,81921.0,95811,87063,102351,127827,125769,54647,36107,2266,1777,1827,1839,1966,3197,3291,3199,2288,2190,2279,2359,2425,2004,1292,712,612,584,3604,1308,7178,2497,15780,29941,28929,28049,7629,6690,5204,1908,38.1,112.1,52.2,21.9,30.3,19081,38.2,17026,37.9,77009,29.795344,-95.36759,16046841.0,17562.0,6.196,0.007,0.0662122146480219,0.2052164890104707,0.1568661817544474,0.9987467190493076,0.2610894353126322,C,77,"B,C_5mi_C76",5,"B,C",5,100219.2,149770,15291,26.38
75081,ZCTA5 75081,14021,9128,3590,5538,6651,2744,1756,776,721,70,4014,2096,1526,954,293,245,693,2862,4119,1454,4893,2585,2114,471,2308,1720,588,90953.0,106355,98989,107315,114384,113298,65385,36065,3132,1819,2348,1704,2188,2729,3828,3011,2323,1744,2279,1866,1969,1611,1562,963,438,551,4167,912,8211,2980,15783,28592,27854,26851,7094,6245,5125,1952,35.3,88.7,58.7,22.5,36.1,16956,34.7,19109,35.7,75081,32.948918,-96.709719,23899297.0,10744.0,9.228,0.004,0.1163908287360345,0.2048863314781624,0.154456226448164,0.9981146585299298,0.2777681230671832,C,5,"B,C_5mi_C8",5,"B,C",20,96805.25,761722,77277,193.05
98001,ZCTA5 98001,12037,8990,3899,5091,7068,2863,1257,677,665,359,3674,1833,1783,985,463,252,888,2661,4016,1425,3047,1520,1195,325,1527,1097,430,107218.0,115069,106085,120755,129406,129089,66304,36041,1751,2633,2484,2555,1505,2085,2711,2387,2618,2432,2482,2764,2844,1774,1197,812,402,605,5117,1762,8630,2298,13861,28779,27411,26336,7634,6543,4790,1819,39.9,105.3,59.3,21.2,38.2,18489,39.2,17552,40.6,98001,47.30968,-122.264368,48186493.0,802490.0,18.605,0.31,0.2067534458907649,0.2046976700311291,0.1679957935325563,0.9961598988036088,0.3131259629483017,B,35,"B,C_5mi_C46",5,"B,C",36,108886.97,1177378,109735,217.55
60611,ZCTA5 60611,23564,7212,1551,5661,6364,1185,546,366,302,0,5687,928,542,55,0,0,977,2502,3620,113,16352,10004,8808,1196,6348,5126,1222,124621.0,217743,210898,219235,228378,"250,000+",29232,36036,1017,574,600,184,3281,6209,4096,2945,2286,1184,1232,2884,2153,2047,2197,1311,1001,835,1174,71,2262,3394,19001,33813,33774,33618,9544,8628,7391,3147,38.2,84.8,36.6,28.0,8.6,16538,36.1,19498,40.7,60611,41.893929,-87.614497,2117500.0,1522768.0,0.818,0.588,0.303438390639844,0.2046583655629972,0.0651126106388572,0.9998678343109216,0.3166490681748403,B,0,"B,C_5mi_C1",5,"B,C",36,103621.28,1355560,121269,137.43
97224,ZCTA5 97224,15347,9801,3456,6345,7940,2683,1222,439,639,334,5394,1878,1736,441,266,86,1935,2344,4359,1163,5546,3981,3413,568,1565,1185,380,94456.0,130963,153788,117978,151058,181964,62390,36015,1801,1651,2192,1665,1526,2164,2272,2238,2290,2201,2083,2481,2532,2719,2199,1491,1154,1356,3843,1297,6941,1894,12155,30002,29074,28406,11451,10487,8919,4001,45.4,84.5,78.7,44.3,34.4,16494,43.5,19521,47.4,97224,45.405503,-122.79507,22981674.0,0.0,8.873,0.0,0.1358522642044033,0.2044932867968431,0.1485846989746735,0.9981886629772844,0.2827506589699045,C,37,"B,C_5mi_C48",5,"B,C",16,105904.06,506366,52952,113.75
18966,ZCTA5 18966,13704,9976,3294,6682,8575,2818,888,288,513,188,4754,1704,2184,813,391,130,1412,2461,4155,1948,3728,1994,1893,101,1734,1484,250,119741.0,148705,166844,140421,160700,180893,98984,35994,1687,2034,2071,2190,1587,1553,1793,2243,1750,2287,2380,2986,2605,2951,2473,1033,1139,1232,4105,1313,7105,2464,11116,29671,28889,27801,11433,10453,8828,3404,47.4,96.7,79.4,44.0,35.4,17699,46.4,18295,48.5,18966,40.188468,-75.009898,42024478.0,810297.0,16.226,0.313,0.2763268276693501,0.2043282080306889,0.1414862851634387,0.9966558328325004,0.329524291764317,B,22,"B,C_5mi_C28",5,"B,C",16,108950.56,460680,47101,159.74
