ZIP,cluster_id,coverage_pct,can_skip,covered_by
11375,A_5mi_C1,81.7,False,"[('11368', 81.7), ('11385', 75.9), ('11226', 33.3), ('11373', 81.0), ('11236', 44.5), ('10025', 29.3), ('11221', 57.7), ('11234', 27.1), ('11377', 68.5), ('11229', 19.2), ('11218', 26.6), ('11215', 28.5), ('11201', 33.2), ('10023', 30.7), ('11211', 50.2), ('10024', 27.1), ('10128', 40.2), ('11238', 40.6), ('07030', 18.3), ('07302', 14.5), ('10016', 38.1), ('10003', 35.0), ('10011', 29.8), ('10028', 40.6), ('11217', 35.9), ('11231', 25.3), ('10021', 40.9), ('10022', 40.0), ('10010', 37.2), ('10065', 40.4), ('10014', 28.0), ('10013', 29.1), ('07310', 17.5)]"
11218,A_5mi_C1,90.6,True,"[('11368', 19.0), ('11385', 47.0), ('11226', 90.6), ('11373', 28.9), ('11236', 64.4), ('10025', 13.1), ('11221', 62.7), ('11234', 61.4), ('11377', 32.0), ('11229', 69.8), ('11375', 26.6), ('11215', 86.9), ('11209', 71.1), ('11201', 68.1), ('10023', 23.1), ('11211', 56.1), ('10024', 13.2), ('10128', 19.9), ('11238', 76.9), ('07030', 34.2), ('07302', 43.8), ('10016', 38.8), ('10003', 46.0), ('10011', 39.6), ('10028', 22.4), ('11217', 75.7), ('11231', 74.5), ('10021', 26.0), ('10022', 31.6), ('10010', 42.1), ('10065', 28.5), ('10014', 43.8), ('10013', 51.2), ('07310', 40.8)]"
11215,A_5mi_C1,87.0,False,"[('11368', 22.6), ('11385', 49.3), ('11226', 82.4), ('11373', 33.4), ('11236', 57.3), ('10025', 21.1), ('11221', 67.0), ('11234', 50.4), ('11377', 38.3), ('11229', 57.3), ('11375', 28.5), ('11218', 86.9), ('11209', 67.5), ('11201', 80.5), ('10023', 32.7), ('11211', 65.2), ('10024', 21.4), ('10128', 28.3), ('11238', 85.0), ('07030', 45.6), ('07302', 55.4), ('10016', 49.5), ('10003', 57.4), ('10011', 51.0), ('10028', 31.0), ('11217', 87.0), ('11231', 87.0), ('10021', 35.2), ('10022', 41.5), ('10010', 53.1), ('10065', 37.9), ('10014', 55.6), ('10013', 63.4), ('07310', 52.6)]"
11209,A_5mi_C1,71.1,False,"[('11385', 23.1), ('11226', 62.3), ('11236', 39.9), ('11221', 37.6), ('11234', 43.8), ('11377', 13.1), ('11229', 57.9), ('11218', 71.1), ('11215', 67.5), ('11201', 52.2), ('10023', 11.9), ('11211', 35.6), ('11238', 53.3), ('07030', 27.6), ('07302', 40.8), ('10016', 24.6), ('10003', 32.3), ('10011', 28.2), ('11217', 55.7), ('11231', 63.4), ('10021', 12.4), ('10022', 17.6), ('10010', 28.0), ('10065', 14.6), ('10014', 33.0), ('10013', 39.8), ('07310', 35.4)]"
11201,A_5mi_C1,90.9,True,"[('11368', 30.3), ('11385', 53.1), ('11226', 66.7), ('11373', 42.2), ('11236', 47.2), ('10025', 36.4), ('11221', 70.7), ('11234', 36.4), ('11377', 49.9), ('11229', 40.6), ('11375', 33.2), ('11218', 68.1), ('11215', 80.5), ('11209', 52.2), ('10023', 49.7), ('11211', 78.9), ('10024', 36.9), ('10128', 43.8), ('11238', 84.6), ('07030', 62.4), ('07302', 68.9), ('10016', 67.5), ('10003', 76.2), ('10011', 69.5), ('10028', 46.9), ('11217', 90.9), ('11231', 87.7), ('10021', 51.6), ('10022', 58.7), ('10010', 71.5), ('10065', 54.7), ('10014', 74.0), ('10013', 82.0), ('07310', 68.3)]"
10023,A_5mi_C1,88.3,False,"[('11368', 38.9), ('11385', 38.1), ('11226', 23.8), ('11373', 47.0), ('11236', 15.2), ('10025', 83.9), ('11221', 43.0), ('11377', 59.0), ('11375', 30.7), ('11218', 23.1), ('11215', 32.7), ('11209', 11.9), ('11201', 49.7), ('11211', 58.6), ('10024', 85.3), ('10128', 84.1), ('11238', 41.0), ('07030', 69.9), ('07302', 54.3), ('10016', 80.7), ('10003', 72.3), ('10011', 77.2), ('10028', 86.2), ('11217', 43.3), ('11231', 40.1), ('10021', 87.9), ('10022', 87.1), ('10010', 77.0), ('10065', 88.3), ('10014', 71.1), ('10013', 63.9), ('07310', 61.9)]"
11211,A_5mi_C1,82.1,False,"[('11368', 48.5), ('11385', 69.1), ('11226', 59.1), ('11373', 61.5), ('11236', 49.2), ('10025', 47.3), ('11221', 82.1), ('11234', 33.8), ('11377', 69.8), ('11229', 33.6), ('11375', 50.2), ('11218', 56.1), ('11215', 65.2), ('11209', 35.6), ('11201', 78.9), ('10023', 58.6), ('10024', 46.8), ('10128', 57.6), ('11238', 78.5), ('07030', 57.9), ('07302', 56.2), ('10016', 76.4), ('10003', 79.1), ('10011', 71.0), ('10028', 60.5), ('11217', 77.7), ('11231', 67.3), ('10021', 64.8), ('10022', 70.5), ('10010', 78.4), ('10065', 67.3), ('10014', 71.5), ('10013', 75.0), ('07310', 59.4)]"
10024,A_5mi_C1,96.3,True,"[('11368', 37.6), ('11385', 30.7), ('11226', 14.2), ('11373', 43.1), ('10025', 96.3), ('11221', 33.0), ('11377', 54.0), ('11375', 27.1), ('11218', 13.2), ('11215', 21.4), ('11201', 36.9), ('10023', 85.3), ('11211', 46.8), ('10128', 84.2), ('11238', 29.5), ('07030', 57.6), ('07302', 42.0), ('10016', 66.9), ('10003', 58.3), ('10011', 63.0), ('10028', 83.0), ('11217', 31.2), ('11231', 27.9), ('10021', 80.3), ('10022', 74.9), ('10010', 63.1), ('10065', 78.2), ('10014', 57.1), ('10013', 50.1), ('07310', 49.3)]"
10128,A_5mi_C1,96.5,True,"[('11368', 51.1), ('11385', 43.7), ('11226', 21.9), ('11373', 57.6), ('11236', 16.6), ('10025', 86.6), ('11221', 44.4), ('11377', 68.9), ('11375', 40.2), ('11218', 19.9), ('11215', 28.3), ('11201', 43.8), ('10023', 84.1), ('11211', 57.6), ('10024', 84.2), ('11238', 38.3), ('07030', 55.8), ('07302', 42.1), ('10016', 73.7), ('10003', 64.2), ('10011', 65.9), ('10028', 96.5), ('11217', 39.0), ('11231', 33.6), ('10021', 91.3), ('10022', 83.4), ('10010', 69.5), ('10065', 87.7), ('10014', 60.1), ('10013', 54.5), ('07310', 49.1)]"
11238,A_5mi_C1,92.9,True,"[('11368', 34.6), ('11385', 62.6), ('11226', 79.2), ('11373', 46.5), ('11236', 61.5), ('10025', 29.5), ('11221', 81.3), ('11234', 49.0), ('11377', 51.5), ('11229', 51.5), ('11375', 40.6), ('11218', 76.9), ('11215', 85.0), ('11209', 53.3), ('11201', 84.6), ('10023', 41.0), ('11211', 78.5), ('10024', 29.5), ('10128', 38.3), ('07030', 48.8), ('07302', 54.3), ('10016', 58.7), ('10003', 65.2), ('10011', 57.6), ('10028', 41.1), ('11217', 92.9), ('11231', 80.4), ('10021', 45.3), ('10022', 51.3), ('10010', 61.9), ('10065', 47.9), ('10014', 60.9), ('10013', 68.0), ('07310', 53.8)]"
