ZIP,Geographic Area Name,Number HH,Number Families,Families with Children <18,Families with No Own Children,Married Couple Families,Married Couple with Kids <18,Female Householder,Single Mom,Male Householder,Single Dad,2-Person Families,3-Person Families,4-Person Families,5-Person Families,6-Person Families,7+ Person Families,No Earners,1 Earner,2 Earners,3+ Earners,Non Family Households,Non-Family Female Householder,Single Woman,Single Woman Not Alone,Non-Family Male,Single Male,Single Male Not Alone,Median Income,Median Family Income,Median Family With Children,Median Family No Kids,Median Married,Median Married Kids,Media Married No Kids,Total Pop,Total Pop <5,Total Pop 5-9,Total Pop 10-14,Total Pop 15-19,Total Pop 20-24,Total Pop 25-29,Total Pop 30-34,Total Pop 35-39,Total Pop 40-44,Total Pop 45-49,Total Pop 50-54,Total Pop 55-59,Total Pop 60-64,Total Pop 65-69,Total Pop 70-74,Total Pop 75-79,Total Pop 80-84,Total Pop 85+,Total Pop 5-14,Total Pop 15-17,Total Pop <18,Total Pop 18-24,Total Pop 15-44,Total Pop 16+,Total Pop 18+,Total Pop 21+,Total Pop 60+,Total Pop 62+,Total Pop 65+,Total Pop 75+,Median Age,Males Per 100 Females,Age Dependency Ratio,Old-Age Dependency Ratio,Child Dependency Ratio,Total Pop Male,Median Age Male,Total Pop Female,Median Age Female
33909,ZCTA5 33909,12801,9114,3686,5428,6455,2260,2025,1030,634,396,4309,1794,1828,871,125,187,1077,2970,3898,1169,3687,1713,1428,285,1974,1598,376,79096,83818,79048,87642,91309,89641,54922,36917,2708,2202,2201,2375,2063,2283,3433,2247,1967,2205,2640,2885,2335,1729,1455,1103,598,488,4403,1451,8562,2987,14368,29359,28355,26825,7708,6547,5373,2189,38,95.7,60.6,23.4,37.3,18049,37,18868,38.4
48154,ZCTA5 48154,14707,10151,3337,6814,8327,2750,1150,319,674,268,5290,2015,2017,673,123,33,1821,2569,4298,1463,4556,2327,2052,275,2229,1894,335,103763,120095,138883,108884,132470,150577,82286,36915,1827,1664,2268,2008,1687,2218,2242,2199,1970,1925,2617,2501,3404,2503,1926,1467,1138,1351,3932,1324,7083,2371,12324,30779,29832,28864,11789,10459,8385,3956,46.2,93.1,72.1,39.1,33,17801,44.9,19114,47.2
84123,ZCTA5 84123,14007,9161,3821,5340,6712,2507,1938,1138,511,176,4552,1611,1281,915,493,309,1016,2406,4234,1505,4846,2313,1809,504,2533,2014,519,80079,94243,85810,100383,111268,109503,49957,36913,2521,2342,2435,2204,2598,3294,3513,2913,2377,1832,1805,2172,2189,1698,1293,687,595,445,4777,1522,8820,3280,16899,29041,28093,26900,6907,5936,4718,1727,34.3,98.2,57.9,20.2,37.7,18287,34,18626,34.6
37312,ZCTA5 37312,14212,10010,3771,6239,8019,2917,1466,618,525,236,4716,2538,1765,666,202,123,1589,2773,4327,1321,4202,2523,2236,287,1679,1340,339,75369,90481,98662,85085,100156,111920,47188,36894,2014,2364,2298,2540,1910,1870,2226,2933,1807,2018,2667,2206,2500,2198,2252,1196,810,1085,4662,1541,8217,2909,13286,29707,28677,27203,10041,8845,7541,3091,40.6,93.3,74.6,35.7,38.9,17809,39.1,19085,43.3
86004,ZCTA5 86004,14345,9717,3723,5994,7399,2521,1416,857,902,345,4838,2003,1472,845,392,167,1345,2807,4228,1337,4628,2219,1676,543,2409,1719,690,77486,93750,82411,103750,112348,123565,57984,36893,1849,2128,2632,2197,2840,2383,2788,2425,2685,2486,2388,1917,2620,2153,1405,1003,762,232,4760,1471,8080,3566,15318,29872,28813,27548,8175,6810,5555,1997,38.8,106.6,58.6,23.9,34.7,19037,38.4,17856,39.3
32904,ZCTA5 32904,13863,8838,3625,5213,6755,2829,1573,581,510,215,4115,1844,1650,645,421,163,1536,2970,3208,1124,5025,2870,2133,737,2155,1729,426,86943,99763,124469,91064,113300,144750,56228,36885,1920,1995,2192,2485,2239,1641,3105,2359,1910,2644,2095,2385,2309,1948,1976,1650,1063,969,4187,1561,7668,3163,13739,30380,29217,27917,9915,8966,7606,3682,41.2,100,70.7,35.2,35.5,18441,38.7,18444,45
98056,ZCTA5 98056,14713,9059,3621,5438,6485,2547,1560,803,1014,271,4168,2433,1519,559,237,143,983,2905,4293,878,5654,3181,2406,775,2473,1444,1029,108596,130039,138039,126786,157114,173304,64773,36872,2225,1714,1923,2126,1683,3216,3053,3251,2403,2132,2647,2456,2539,1921,1661,746,472,704,3637,1447,7309,2362,15732,30512,29563,28688,8043,7142,5504,1922,38.8,99.2,53.3,22.9,30.4,18364,37.8,18508,40.5
06824,ZCTA5 06824,12121,9241,4379,4862,7743,3654,1061,563,437,162,3885,2063,2226,724,288,55,737,3043,4465,996,2880,1773,1572,201,1107,751,356,193149,231223,221694,238214,"250,000+","250,000+",90083,36868,2003,2571,2918,4280,2384,1266,1859,1846,2138,2622,2441,3011,2602,1526,1153,846,583,819,5489,2009,9501,4655,13773,28437,27367,24605,7529,6743,4927,2248,38.7,91.2,64.3,22,42.3,17590,38.1,19278,39.1
80128,ZCTA5 80128,14241,10138,4195,5943,8158,3318,1139,406,841,471,4794,2467,1588,784,430,75,1148,2510,5032,1448,4103,2205,1735,470,1898,1450,448,119827,136386,135121,136628,150114,154409,77440,36859,2180,2379,2416,2356,1764,2042,2615,2937,3083,2141,2113,2445,2561,2088,1804,839,514,582,4795,1570,8545,2550,14797,29401,28314,27283,8388,7318,5827,1935,39.7,99.5,63.9,25.9,38,18384,39.5,18475,39.9
85016,ZCTA5 85016,18723,8298,2560,5738,5628,1341,1792,868,878,351,4997,1846,979,276,116,84,903,2599,4070,726,10425,5491,4538,953,4934,3717,1217,85085,106581,72539,125869,138152,98059,53576,36857,1468,1412,1350,1188,2532,4625,4745,2894,2251,1955,2077,2567,2111,2035,1636,908,513,590,2762,621,4851,3099,18235,32419,32006,31142,7793,6897,5682,2011,37.1,97.9,40,21.6,18.4,18231,37.1,18626,37.2
60133,ZCTA5 60133,11210,9115,4084,5031,6285,2738,1883,926,947,420,3210,2037,1709,1160,473,526,1010,2389,3699,2017,2095,768,659,109,1327,846,481,92263,95141,88644,101791,109714,107656,70708,36850,2141,2559,3394,3061,2251,2397,2647,3326,2179,1834,2319,2706,1894,1522,1213,787,365,255,5953,2057,10151,3255,15861,28075,26699,25231,6036,5238,4142,1407,35,93.9,63.4,18.4,45,17850,35.2,19000,34.3
95401,ZCTA5 95401,13831,8781,3550,5231,5969,2183,1745,883,1067,484,3885,1954,1811,844,210,77,964,2560,3888,1369,5050,2873,2102,771,2177,1505,672,93513,109401,83488,117742,125074,126048,68940,36842,1606,1911,2658,1810,1944,2383,3233,2921,2647,2125,2349,2796,1967,2211,1907,1277,537,560,4569,935,7110,2819,14938,30409,29732,28454,8459,7637,6492,2374,39.9,96.8,58.5,27.9,30.6,18120,39.6,18722,40.2
60441,ZCTA5 60441,12580,8733,3750,4983,6711,2818,1429,574,593,358,3811,2238,1547,631,239,267,833,2706,3791,1403,3847,1805,1578,227,2042,1392,650,104271,118237,122373,114460,132809,141837,59425,36841,1802,2538,2275,2665,1934,2409,2926,2569,2883,2888,2665,2677,2019,1482,1458,678,630,343,4813,1675,8290,2924,15386,29589,28551,27193,6610,5944,4591,1651,38.7,112.1,53.8,19.2,34.6,19469,39.2,17372,38.1
72023,ZCTA5 72023,13854,10211,4717,5494,7529,3062,1891,1167,791,488,4750,2129,2245,649,187,251,1180,3504,4440,1087,3643,2151,1884,267,1492,1149,343,76157,92247,88496,99032,110169,111480,44758,36813,2272,2176,3041,2740,1823,2462,2774,2732,2367,2230,2326,1841,2564,1707,1354,956,656,792,5217,2007,9496,2556,14898,28735,27317,26355,8029,7044,5465,2404,37.1,94.7,68.5,25,43.5,17910,36.2,18903,38.3
45103,ZCTA5 45103,14413,9315,4032,5283,7105,2693,1531,934,679,405,4229,1792,1962,797,508,27,1104,2742,4292,1177,5098,2902,2335,567,2196,1611,585,81837,103964,98750,106376,116023,124410,43355,36788,1967,2476,2442,2445,2480,2538,2626,2807,2689,1785,2115,2416,2278,1983,1611,1166,485,479,4918,1750,8635,3175,15585,29348,28153,26985,8002,7132,5724,2130,37.4,97.7,64,25.5,38.5,18181,36.5,18607,38.2
40515,ZCTA5 40515,15248,9623,4129,5494,7862,3064,1182,699,579,366,4736,2378,1557,545,272,135,987,2600,4750,1286,5625,2888,2287,601,2737,2101,636,83782,109765,116081,108312,126579,140543,60347,36787,2289,1908,2372,2600,2457,2909,2520,2492,2473,2631,2433,2235,2406,2134,1462,634,363,469,4280,1799,8368,3258,15451,29821,28419,27297,7468,6519,5062,1466,37.7,94.8,57.5,21.7,35.8,17899,36.9,18888,39.1
55423,ZCTA5 55423,16254,9412,3251,6161,7258,2329,1435,690,719,232,5308,1747,1306,672,295,84,1179,2301,4617,1315,6842,3588,3077,511,3254,2400,854,84102,105842,110982,104358,118934,135208,70810,36779,1922,1829,1858,1932,1903,3376,3002,3294,3051,1908,1652,2213,1934,2019,2122,903,798,1063,3687,1278,6887,2557,16558,30908,29892,28996,8839,8062,6905,2764,38.9,100.4,60,30,30,18426,37.6,18353,39.8
92508,ZCTA5 92508,10251,8983,4138,4845,7207,3550,1360,515,416,73,2671,2055,2240,1247,456,314,822,2077,3999,2085,1268,724,614,110,544,408,136,144485,153825,153986,153545,164363,166250,101058,36777,2054,2458,3077,2647,2736,2339,1751,2908,2837,2544,2792,2459,1884,1630,1083,857,414,307,5535,1851,9440,3532,15218,28442,27337,25982,6175,5291,4291,1578,37.1,93.9,59.6,18.6,41,17806,36.8,18971,37.5
35244,ZCTA5 35244,14381,10309,4731,5578,8527,3803,1162,582,620,346,4911,2665,1803,714,183,33,1175,2910,5046,1178,4072,2459,2259,200,1613,1420,193,114172,136962,145141,133151,152956,155817,49835,36775,2530,2292,2264,2180,2055,2239,2664,2895,2234,2357,2840,2372,2146,1927,1130,1158,808,684,4556,1385,8471,2850,14267,29361,28304,26981,7853,6945,5707,2650,39,93.5,62.7,25.3,37.5,17767,38.8,19008,39.1
50266,ZCTA5 50266,17387,8331,3944,4387,6557,3182,1003,489,771,273,4191,1639,1622,685,124,70,899,2274,4372,786,9056,4127,3079,1048,4929,3581,1348,85282,122113,134559,114917,155972,162857,44896,36770,2124,2168,1728,1704,3021,4286,3378,3029,2316,2064,2124,2351,1592,1365,1226,814,581,899,3896,1174,7194,3551,17734,30330,29576,28855,6477,5866,4885,2294,35,106.3,48.9,19.8,29.1,18944,35,17826,35
94520,ZCTA5 94520,13287,8295,4005,4290,6103,3022,1543,737,649,246,3232,1833,1965,651,248,366,579,2721,3880,1115,4992,2725,2091,634,2267,1727,540,79790,88641,78862,112685,97407,85764,62208,36767,3289,1859,2356,2472,1790,3566,3303,3894,2298,2252,1953,2141,1494,1180,1247,803,501,369,4215,1433,8937,2829,17323,28775,27830,26519,5594,5170,4100,1673,34.6,109.3,54.9,17.3,37.7,19201,33.3,17566,36
90049,ZCTA5 90049,16605,8414,3329,5085,7158,2812,737,242,519,275,4606,1679,1536,448,104,41,1092,2948,4010,364,8191,4351,3353,998,3840,2709,1131,169898,"250,000+","250,000+",239514,"250,000+","250,000+",112351,36735,1950,1891,1983,1593,1667,3458,3231,2907,2842,1712,2129,2081,1843,2050,1678,1609,922,1189,3874,1051,6875,2209,15698,30677,29860,29130,9291,8546,7448,3720,39.4,93.4,63.9,33.2,30.7,17743,40.8,18992,37.9
92596,ZCTA5 92596,9646,8460,4564,3896,6342,3384,1222,631,896,549,2511,1392,2346,1036,689,486,952,2710,3223,1575,1186,539,255,284,647,361,286,120860,123594,130000,108893,129568,138048,69632,36725,2861,2999,3760,2721,2048,2021,2827,2687,2257,2348,2271,2250,1834,1338,1103,635,477,288,6759,1795,11415,2974,14561,26527,25310,23923,5675,4974,3841,1400,33.4,99.7,71.1,17.9,53.2,18332,32.8,18393,34.5
01852,ZCTA5 01852,14809,8642,4055,4587,5473,2474,2331,1256,838,325,3700,2096,1618,730,335,163,1068,2752,3526,1296,6167,3145,2312,833,3022,2358,664,77058,94690,91059,100664,118677,117646,53862,36700,2089,1898,2697,1948,2230,2572,3447,3065,2514,1938,2237,2588,2327,1917,1346,1009,513,365,4595,1152,7836,3026,15776,29752,28864,27730,7477,6692,5150,1887,37.5,96,54.8,21.7,33,17976,37.5,18724,37.5
44094,ZCTA5 44094,17386,9299,3321,5978,7096,2287,1736,834,467,200,5449,1778,1182,639,210,41,1690,2431,4206,972,8087,4562,3856,706,3525,2815,710,76125,109715,121563,107542,131623,150847,48325,36689,1327,1779,1777,1973,2007,2779,1922,1949,2180,2140,2304,2634,2863,2713,2406,1435,1073,1428,3556,1410,6293,2570,12810,31444,30396,29500,11918,10600,9055,3936,46.7,88.9,71.9,42.4,29.5,17265,45.6,19424,47.6
80112,ZCTA5 80112,16399,8924,4106,4818,7198,3185,1181,690,545,231,4222,2292,1420,778,139,73,1008,2275,4688,953,7475,3630,2956,674,3845,3130,715,107504,157904,176100,146627,179063,194669,81696,36687,1712,2273,2376,1765,2037,4089,3579,2727,3339,2185,2442,1539,1807,1370,1691,954,471,331,4649,1125,7486,2677,17536,29941,29201,28392,6624,5821,4817,1756,35.7,106.1,50.5,19.8,30.7,18884,34.6,17803,37.5
92869,ZCTA5 92869,11647,8930,3430,5500,7207,2786,1039,383,684,261,3309,2035,1994,863,529,200,777,2243,4004,1906,2717,1521,1223,298,1196,762,434,147047,157727,163542,152841,173912,182313,101422,36684,1931,2401,2053,2024,2258,2453,2695,2198,2290,2578,2191,2677,2464,2632,1879,899,461,600,4454,1395,7780,2887,13918,29898,28904,27920,8935,7712,6471,1960,40.6,101,63.5,28.8,34.7,18435,40.2,18249,41.1
55024,ZCTA5 55024,12539,10005,5150,4855,8069,3948,1269,776,667,426,3841,2012,2797,1033,218,104,632,2176,5419,1778,2534,1397,1236,161,1137,740,397,123582,138390,140000,136031,147713,151483,79496,36681,2889,3225,2682,2782,1444,1778,2696,3111,2715,2737,2919,2285,2319,970,908,566,309,346,5907,1913,10709,2313,14526,26996,25972,24996,5418,4412,3099,1221,36.2,105.7,60.4,13.5,46.8,18847,35.1,17834,37.5
45342,ZCTA5 45342,14772,9388,4245,5143,7340,3081,1386,899,662,265,4164,2207,1941,753,254,69,1056,2727,4314,1291,5384,2852,2267,585,2532,2213,319,83936,106547,96682,108937,117391,124206,65127,36675,2211,2505,2357,2072,2162,2472,3172,2277,2141,2277,2620,2139,2698,2096,1541,793,675,467,4862,1624,8697,2610,14296,29113,27978,27168,8270,6881,5572,1935,38.4,103.9,63.7,24.9,38.8,18687,34.9,17988,42
30092,ZCTA5 30092,15648,9766,3989,5777,6749,2802,2273,811,744,376,5020,1878,1739,573,471,85,972,3125,4618,1051,5882,3055,2541,514,2827,2420,407,77339,100439,115929,88788,130631,172773,75424,36660,2062,2527,2439,1761,2461,3575,2995,2415,2559,1896,2153,2770,2061,2177,1275,662,434,438,4966,927,7955,3295,15766,29368,28705,27651,7047,6111,4986,1534,36.1,92.5,54.6,21,33.5,17619,34.7,19041,37.9
99508,ZCTA5 99508,12623,7091,3536,3555,4153,1801,1979,1182,959,553,2751,1590,1495,624,285,346,716,2424,3174,777,5532,2948,2064,884,2584,1616,968,72751,81438,86357,80501,111932,119778,50673,36660,3367,2937,2593,2426,3159,2774,2860,2098,2388,2399,2357,1892,1794,1371,937,554,422,332,5530,1444,10341,4141,15705,27214,26319,24839,5410,4529,3616,1308,32.3,98.2,61.5,15.9,45.5,18160,32.4,18500,32.1
02127,ZCTA5 02127,17895,6518,2043,4475,4706,1315,1515,676,297,52,3678,1759,795,139,110,37,922,1090,4062,444,11377,5667,3176,2491,5710,3028,2682,156373,160091,175469,154161,203425,237277,59563,36646,1528,808,969,694,2620,8672,5310,4007,1883,1572,1646,1638,1716,973,946,542,589,533,1777,371,3676,2943,23186,33203,32970,32562,5299,4784,3583,1664,32.5,97,24.7,12.2,12.5,18043,32.7,18603,32.3
97222,ZCTA5 97222,16127,9273,3848,5425,6460,2338,1842,1081,971,429,5447,2095,1224,251,129,127,1317,3023,4060,873,6854,3366,2405,961,3488,2562,926,77441,98125,88871,102025,118283,128137,55310,36643,2134,1684,1325,1669,2153,2944,3172,3489,2837,2385,1999,2128,2235,2046,1605,1073,865,900,3009,1164,6307,2658,16264,31252,30336,29366,8724,7870,6489,2838,39.7,99.1,53.7,27.2,26.4,18242,40,18401,39.5
99352,ZCTA5 99352,14482,9554,4268,5286,7368,2678,1404,956,782,634,4887,2119,1507,644,228,169,1593,3547,3502,912,4928,2705,2295,410,2223,1632,591,96875,132463,126623,138813,153720,161397,59914,36641,2173,2499,2506,2384,2494,2190,2395,2312,2678,1926,2256,2444,2181,2195,1449,1345,547,667,5005,1602,8780,3276,14453,29082,27861,26779,8384,7315,6203,2559,38.4,108.4,69.2,28.6,40.5,19059,35.8,17582,41.1
29407,ZCTA5 29407,16874,8708,3172,5536,6642,2342,1515,714,551,116,5086,1691,1319,485,127,0,1106,2575,4537,490,8166,4265,3268,997,3901,2763,1138,80568,112181,120820,106959,129833,146250,58787,36640,2365,1958,1774,1204,1851,3257,4158,3759,2192,1740,1374,2174,2071,1831,1856,1159,915,1002,3732,769,6866,2286,16421,30276,29774,28983,8834,7893,6763,3076,37.4,93.4,59.2,29.4,29.8,17695,35.8,18945,38.8
30028,ZCTA5 30028,11506,9754,5429,4325,8543,4587,713,436,498,406,3380,2469,2191,1133,403,178,630,2608,5218,1298,1752,909,721,188,843,671,172,132569,136204,140947,130798,139076,148287,110096,36631,2051,3591,3544,2566,1625,1499,2223,3068,3380,3283,2782,1798,1531,1173,1145,848,397,127,7135,1730,10916,2461,14361,26904,25715,24571,5221,4603,3690,1372,37.4,105.6,66.3,16.8,49.6,18815,36.6,17816,37.8
