ZIP,Geographic Area Name,Number HH,Number Families,Families with Children <18,Families with No Own Children,Married Couple Families,Married Couple with Kids <18,Female Householder,Single Mom,Male Householder,Single Dad,2-Person Families,3-Person Families,4-Person Families,5-Person Families,6-Person Families,7+ Person Families,No Earners,1 Earner,2 Earners,3+ Earners,Non Family Households,Non-Family Female Householder,Single Woman,Single Woman Not Alone,Non-Family Male,Single Male,Single Male Not Alone,Median Income,Median Family Income,Median Family With Children,Median Family No Kids,Median Married,Median Married Kids,Media Married No Kids,Total Pop,Total Pop <5,Total Pop 5-9,Total Pop 10-14,Total Pop 15-19,Total Pop 20-24,Total Pop 25-29,Total Pop 30-34,Total Pop 35-39,Total Pop 40-44,Total Pop 45-49,Total Pop 50-54,Total Pop 55-59,Total Pop 60-64,Total Pop 65-69,Total Pop 70-74,Total Pop 75-79,Total Pop 80-84,Total Pop 85+,Total Pop 5-14,Total Pop 15-17,Total Pop <18,Total Pop 18-24,Total Pop 15-44,Total Pop 16+,Total Pop 18+,Total Pop 21+,Total Pop 60+,Total Pop 62+,Total Pop 65+,Total Pop 75+,Median Age,Males Per 100 Females,Age Dependency Ratio,Old-Age Dependency Ratio,Child Dependency Ratio,Total Pop Male,Median Age Male,Total Pop Female,Median Age Female,ZCTA5,latitude,longitude,area_land_meters,area_water_meters,area_land_sqmi,area_water_sqmi,wealth_score,population_score,children_score,area_score,composite_score,grade,Cluster_A_5mi,Cluster_A_10mi,Cluster_AB_5mi,Cluster_AB_10mi,Cluster_ABC_5mi,Cluster_ABC_10mi,Cluster_BC_5mi,Cluster_BC_10mi
97267,ZCTA5 97267,12453,8524,3100,5424,6508,2125,1624,819,392,156,4756,1742,1441,305,181,99,1681,2255,3561,1027,3929,2471,2076,395,1458,1177,281,85178.0,100238,93259,102572,110318,130204,58804,31160,1447,1322,1519,1627,1656,1575,2058,2286,2405,1907,1898,2068,2150,2174,1788,1458,1038,784,2841,985,5273,2298,11607,26474,25887,25070,9392,8603,7242,3280,44.4,83.8,67.1,38.8,28.3,14208,42.6,16952,45.9,97267,45.408427,-122.612867,18908034.0,602873.0,7.3,0.233,0.0843069606715667,0.166328648240732,0.1329857155376391,0.9985165756411964,0.252446366890666,D,,,,,,,,
15236,ZCTA5 15236,13352,8780,3394,5386,6740,2388,1248,504,792,502,4924,1786,1173,679,111,107,1537,2617,3479,1147,4572,2703,2461,242,1869,1417,452,87016.0,111290,107176,111965,122336,125756,72000,31152,1694,1783,1383,1592,1389,2029,2315,1903,2103,1580,2026,2152,2278,2176,1594,1350,745,1060,3166,1164,6024,1817,11331,26025,25128,24467,9203,8474,6925,3155,43.2,92.3,71.1,38.0,33.1,14953,42.1,16199,45.2,15236,40.347423,-79.975474,28746810.0,0.0,11.099,0.0,0.0945182419706995,0.1662657610917209,0.145868022083954,0.9977246238228864,0.2597536371067082,C,,,,,"A,B,C_5mi_C131","A,B,C_10mi_C94","B,C_5mi_C105","B,C_10mi_C91"
77380,ZCTA5 77380,14971,7912,3395,4517,6489,2503,1044,659,379,233,4337,2164,1101,152,97,61,1114,2801,3478,519,7059,3773,3163,610,3286,2650,636,84468.0,105278,84452,117214,117824,111571,53138,31151,2240,690,1675,1115,2417,3655,2868,2523,1825,2323,1669,1902,1544,1964,1338,554,474,375,2365,745,5350,2787,14403,26269,25801,25324,6249,5472,4705,1403,36.6,95.2,47.7,22.3,25.4,15196,37.2,15955,36.3,77380,30.136972,-95.46836,32152707.0,610135.0,12.414,0.236,0.0803624504852859,0.1662579001980945,0.1459118394531592,0.9974504946728264,0.2547695637463407,D,,,,,,,,
37931,ZCTA5 37931,12169,8384,3577,4807,7010,2963,943,391,431,223,4062,2010,1619,385,190,118,1108,2724,3873,679,3785,2115,1735,380,1670,1292,378,91284.0,103310,104478,102091,114177,116976,50422,31149,1897,2091,2159,1746,1409,2226,2687,2268,2290,1835,1868,1958,2043,1507,1414,875,399,477,4250,1080,7227,2075,12626,24607,23922,22916,6715,5853,4672,1751,38.2,96.1,61.8,24.3,37.5,15261,37.4,15888,39.0,37931,35.976321,-84.126349,74244873.0,1451399.0,28.666,0.56,0.1182297482735824,0.1662421784108417,0.153886600648497,0.99406255022661,0.2699042103064628,C,,,,,,"A,B,C_10mi_C108",,"B,C_10mi_C132"
88011,ZCTA5 88011,13949,7528,2314,5214,6094,1688,1015,546,419,80,4667,1268,869,487,207,30,1753,2673,2623,479,6421,3446,3171,275,2975,1776,1199,75139.0,108412,104853,108792,122556,136188,41063,31143,1474,1746,1638,1601,2634,1669,1930,1338,1525,1713,1688,2047,2031,2304,2199,1430,1066,1110,3384,781,5639,3454,10697,26119,25504,24334,10140,9396,8109,3606,45.0,101.9,79.0,46.6,32.4,15715,42.8,15428,46.4,88011,32.322443,-106.656276,379183740.0,199309.0,146.404,0.077,0.0285338088968149,0.1661950130490834,0.0985452633423889,0.9695185062191878,0.2182171906592968,F,,,,,,,,
8648,ZCTA5 08648,11553,7341,3074,4267,5775,2492,1133,504,433,78,2876,2098,1409,658,114,186,800,1840,3099,1602,4212,2304,1979,325,1908,1438,470,118036.0,148241,177227,131366,164142,198058,77465,31142,1221,1484,2149,2679,2857,1689,2185,1518,2158,1633,2760,1699,2207,1631,1215,614,606,837,3633,1124,5978,4412,13086,26011,25164,22838,7110,6436,4903,2057,39.4,95.2,53.7,24.2,29.5,15187,38.3,15955,40.9,08648,40.28449,-74.717487,43321737.0,495559.0,16.727,0.191,0.2668544475741263,0.166187152155457,0.1318464639383051,0.996551392753276,0.3156731351765185,B,,,,"A,B_10mi_C3","A,B,C_5mi_C88","A,B,C_10mi_C3","B,C_5mi_C101","B,C_10mi_C25"
94903,ZCTA5 94903,12226,7380,2542,4838,6003,2154,1038,334,339,54,3588,1571,1642,417,29,133,858,1747,3514,1261,4846,3672,3225,447,1174,863,311,127464.0,163013,202944,146272,191746,220987,98696,31135,938,1620,1323,2214,1611,1756,1735,1346,1378,2188,2397,2594,2037,1854,1720,1523,1338,1563,2943,1165,5046,2660,10040,26929,26089,24571,10035,9179,7998,4424,48.7,83.0,72.1,44.2,27.9,14120,45.7,17015,51.0,94903,38.02213,-122.55881,51929933.0,1748377.0,20.05,0.675,0.3192330983294166,0.1661321259000723,0.1085356235211638,0.9958586694333906,0.326897497066668,B,,,"A,B_5mi_C93","A,B_10mi_C7","A,B,C_5mi_C114","A,B,C_10mi_C7",,"B,C_10mi_C20"
7039,ZCTA5 07039,10425,8654,4529,4125,7682,4000,850,446,122,83,2936,2098,2604,633,280,103,787,2315,4431,1121,1771,1312,1120,192,459,435,24,218416.0,"250,000+","250,000+",194810,"250,000+","250,000+",128125,31128,1533,2335,2522,2475,1105,455,1064,1799,2792,2517,2298,2470,1922,1658,1668,995,671,849,4857,1800,8190,1780,9690,24313,22938,22091,7763,7172,5841,2515,44.3,97.6,82.1,34.2,47.9,15377,43.5,15751,44.9,07039,40.785828,-74.3291,35767036.0,865334.0,13.81,0.334,0.8245304088401475,0.1660770996446876,0.1956007361318026,0.9971594800009757,0.5300552058626762,A,A_5mi_C27,A_10mi_C3,"A,B_5mi_C2","A,B_10mi_C3","A,B,C_5mi_C2","A,B,C_10mi_C3",,
34639,ZCTA5 34639,10606,8052,3726,4326,6214,2609,1200,697,638,420,3312,1991,1630,942,142,35,930,2684,3408,1030,2554,1533,1148,385,1021,726,295,99959.0,109625,120280,101250,120833,143171,61250,31118,1584,2049,2518,2058,1762,1675,1824,1848,1803,2123,2530,1920,1871,1933,1281,1082,617,640,4567,1326,7477,2494,10970,24500,23641,22711,7424,6610,5553,2339,40.8,96.5,72.0,30.7,41.3,15282,39.1,15836,42.6,34639,28.26543,-82.423239,69369392.0,4317216.0,26.784,1.667,0.1664249959721551,0.1659984907084237,0.1604153886600648,0.9944548780292052,0.2887412950343393,C,,,,,,"A,B,C_10mi_C30",,"B,C_10mi_C72"
76107,ZCTA5 76107,15703,7091,2257,4834,5402,1454,1207,605,482,198,4225,1414,828,507,80,37,884,2408,3258,541,8612,4671,3974,697,3941,3348,593,79473.0,120141,114848,122925,146136,157708,41525,31112,1313,1120,1450,1426,2647,3678,2641,2589,1757,1600,1688,2006,2058,1627,1410,1076,504,522,2570,922,4805,3151,14738,27046,26307,25685,7197,6418,5139,2102,37.5,95.3,47.0,24.3,22.7,15179,37.0,15933,38.3,76107,32.742058,-97.38173,27836778.0,337293.0,10.748,0.13,0.0526119879775774,0.1659513253466654,0.0960476732976952,0.997797794417313,0.2300884320133907,D,,,,,,,,
