ZIP,Geographic Area Name,Number HH,Number Families,Families with Children <18,Families with No Own Children,Married Couple Families,Married Couple with Kids <18,Female Householder,Single Mom,Male Householder,Single Dad,2-Person Families,3-Person Families,4-Person Families,5-Person Families,6-Person Families,7+ Person Families,No Earners,1 Earner,2 Earners,3+ Earners,Non Family Households,Non-Family Female Householder,Single Woman,Single Woman Not Alone,Non-Family Male,Single Male,Single Male Not Alone,Median Income,Median Family Income,Median Family With Children,Median Family No Kids,Median Married,Median Married Kids,Media Married No Kids,Total Pop,Total Pop <5,Total Pop 5-9,Total Pop 10-14,Total Pop 15-19,Total Pop 20-24,Total Pop 25-29,Total Pop 30-34,Total Pop 35-39,Total Pop 40-44,Total Pop 45-49,Total Pop 50-54,Total Pop 55-59,Total Pop 60-64,Total Pop 65-69,Total Pop 70-74,Total Pop 75-79,Total Pop 80-84,Total Pop 85+,Total Pop 5-14,Total Pop 15-17,Total Pop <18,Total Pop 18-24,Total Pop 15-44,Total Pop 16+,Total Pop 18+,Total Pop 21+,Total Pop 60+,Total Pop 62+,Total Pop 65+,Total Pop 75+,Median Age,Males Per 100 Females,Age Dependency Ratio,Old-Age Dependency Ratio,Child Dependency Ratio,Total Pop Male,Median Age Male,Total Pop Female,Median Age Female,ZCTA5,latitude,longitude,area_land_meters,area_water_meters,area_land_sqmi,area_water_sqmi,wealth_score,population_score,children_score,area_score,composite_score,grade,cluster,cluster_id,cluster_radius,cluster_grades,ZIPs in Cluster,Avg Median Income,Total Population,Total Children,Total Area (sq mi)
22314,ZCTA5 22314,19705,7930,2300,5630,6705,1702,889,450,336,148,5450,1426,607,285,162,0,832,2275,4481,342,11775,6553,5442,1111,5222,4093,1129,144359.0,220938,205714,225000,247983,"250,000+",59741,35696,1810,824,1008,885,1610,3780,4102,4048,2805,2022,2350,2308,2145,2104,1460,1154,696,585,1832,582,4224,1913,17230,31771,31472,31057,8144,7307,5999,2435,39.5,91.5,40.1,23.6,16.6,17055,38.9,18641,40.0,22314,38.806853,-77.056374,9855526.0,690639.0,3.805,0.267,0.4130957738184526,0.2019856617300254,0.0979318201735167,0.9992451546369832,0.364246972430066,A,14,"A,B,C_10mi_C15",10,"A,B,C",193,139911.49,6425311,712171,3165.22
21227,ZCTA5 21227,13687,8471,3449,5022,5554,1980,1799,1147,1118,322,4020,1961,978,931,534,47,1102,2842,3438,1089,5216,2609,2002,607,2607,1935,672,83620.0,98186,83345,103594,129587,135735,64018,35695,2427,2463,1915,2201,1929,2823,3366,2866,1998,1554,1823,2242,2820,1828,1770,724,493,453,4378,1306,8111,2824,15183,28544,27584,26439,8088,6995,5268,1670,36.1,106.1,60.0,23.6,36.3,18378,34.1,17317,38.0,21227,39.23997,-76.67945,29876648.0,556260.0,11.535,0.215,0.0756512608543475,0.2019778008363991,0.1482779773902375,0.997633733853741,0.2610019547614338,C,14,"A,B,C_10mi_C15",10,"A,B,C",193,139911.49,6425311,712171,3165.22
98607,ZCTA5 98607,12219,9896,5040,4856,8504,4217,978,557,414,266,4049,1951,2574,823,422,77,1449,2852,4431,1164,2323,1311,1120,191,1012,751,261,132234.0,144130,152385,127372,160536,178460,71625,35661,1657,2685,3385,2962,1357,1802,1587,1997,2794,2916,2948,2415,2064,2375,1164,923,338,292,6070,2220,9947,2099,12499,27042,25714,24687,7156,6211,5092,1553,40.6,102.3,72.9,24.7,48.2,18032,40.6,17629,40.7,98607,45.642413,-122.379611,121575546.0,7016872.0,46.941,2.709,0.3457335400034445,0.2017105304531019,0.2179914117956358,0.9902528846620884,0.37528420132983,A,24,"A,B,C_10mi_C26",10,"A,B,C",39,110362.31,1418777,161983,935.66
14086,ZCTA5 14086,15124,9788,3858,5930,8270,3112,1013,491,505,255,4551,2296,2053,635,224,29,1531,2010,4403,1844,5336,3086,2676,410,2250,1952,298,95949.0,116506,132854,113594,127500,147533,67486,35659,1661,2065,1764,2346,1688,1669,2125,2144,2055,1759,2799,2977,3342,2445,1841,1517,649,813,3829,1572,7062,2462,12027,29616,28597,27658,10607,9317,7265,2979,46.0,95.4,67.2,34.1,33.1,17408,44.6,18251,47.1,14086,42.909064,-78.629268,87749315.0,619598.0,33.88,0.239,0.1441468468918926,0.2016948086658491,0.166199281395145,0.9929756229350414,0.2895964860041319,C,62,"A,B,C_10mi_C67",10,"A,B,C",8,102744.5,288502,30095,319.26
94401,ZCTA5 94401,13086,7739,3015,4724,4977,1884,1835,779,927,352,3538,1831,1346,609,164,251,749,2140,3708,1142,5347,2669,2046,623,2678,1963,715,121258.0,124875,106687,129048,171458,195000,58750,35628,1976,1824,1846,2044,2280,3286,3627,3106,1915,2441,1317,1970,2261,1595,1385,1036,420,1299,3670,1091,6737,3233,16258,29751,28891,27636,7996,7179,5735,2755,35.9,99.6,53.9,24.8,29.1,17774,34.0,17854,38.8,94401,37.576948,-122.316903,8261338.0,2681040.0,3.19,1.035,0.2847547459124319,0.2014511209634311,0.1292612391552011,0.9993733595246538,0.3286387609372958,B,6,"A,B,C_10mi_C7",10,"A,B,C",179,155357.97,6506846,669687,3005.99
1810,ZCTA5 01810,13279,9998,4977,5021,8644,4214,1081,594,273,169,4067,2583,2329,802,148,69,858,2660,5075,1405,3281,2012,1768,244,1269,1055,214,167591.0,215530,236156,197466,241486,"250,000+",115951,35608,1857,2422,2391,2779,1767,1279,1273,2135,2611,2586,3027,2666,3022,2284,1404,996,605,504,4813,2061,8731,2485,11844,28330,26877,25815,8815,7524,5793,2105,43.5,95.6,68.9,27.5,41.4,17403,43.3,18205,43.9,01810,42.648044,-71.161751,79847696.0,3432203.0,30.829,1.325,0.5421645916320827,0.2012939030909034,0.2152309175357111,0.9936116442558268,0.443627409588497,A,35,"A,B,C_10mi_C37",10,"A,B,C",165,135840.98,4173752,443253,2388.6
90505,ZCTA5 90505,13925,9191,4228,4963,7768,3553,1129,573,294,102,3822,2193,2186,858,103,29,1362,3046,3791,992,4734,2785,2294,491,1949,1630,319,110690.0,138172,137154,138590,149464,155224,61412,35605,1462,2439,3174,2009,1215,1611,2148,1734,2581,3341,2221,2339,2324,2112,1614,1277,854,1150,5613,1476,8551,1748,11298,27806,27054,26195,9331,8432,7007,3281,44.0,92.7,77.6,35.0,42.7,17127,42.4,18478,45.2,90505,33.807882,-118.347957,14841094.0,29696.0,5.73,0.011,0.2260426562664934,0.2012703204100242,0.1824117080010516,0.9988438629154124,0.3239190856129049,B,3,"A,B,C_10mi_C4",10,"A,B,C",285,115192.94,12240769,1193809,4190.56
91104,ZCTA5 91104,13490,8764,3237,5527,6048,2155,1818,712,898,370,3608,2468,1684,693,178,133,1010,2201,4281,1272,4726,2862,2385,477,1864,1195,669,103052.0,118750,123608,117859,154268,190605,63409,35595,1628,1857,2201,1973,1707,2050,2618,2786,2328,2351,3082,2916,2241,2363,1451,823,534,686,4058,1202,6888,2478,13462,29389,28707,27583,8098,7381,5857,2043,42.0,90.2,55.8,25.6,30.1,16883,40.3,18712,43.5,91104,34.165356,-118.123751,9856476.0,11657.0,3.806,0.005,0.1836086156991506,0.2011917114737603,0.138988695118745,0.9992449461737511,0.2960847082511409,B,3,"A,B,C_10mi_C4",10,"A,B,C",285,115192.94,12240769,1193809,4190.56
94040,ZCTA5 94040,15347,8146,4124,4022,6780,3342,1017,662,349,120,3397,2105,2058,411,128,47,711,2746,4036,653,7201,3018,2362,656,4183,3026,1157,184494.0,242500,"250,000+",215654,"250,000+","250,000+",126051,35581,1950,2096,1770,2398,1668,3632,4309,2999,2301,2612,2098,1587,1858,1126,1069,746,529,833,3866,1666,7482,2400,17307,29287,28099,27142,6161,5359,4303,2108,34.9,108.0,49.5,18.1,31.4,18476,33.8,17105,36.7,94040,37.380563,-122.085259,9506548.0,0.0,3.67,0.0,0.6360717123063162,0.2010816589629909,0.1778547016037157,0.9992732971733012,0.4660888361569187,A,6,"A,B,C_10mi_C7",10,"A,B,C",179,155357.97,6506846,669687,3005.99
60030,ZCTA5 60030,14244,9615,3994,5621,8058,3176,1278,733,279,85,4437,2544,1796,673,96,69,1342,2324,4649,1300,4629,2248,1806,442,2381,1950,431,104920.0,133847,139777,129764,145470,156483,65577,35579,2008,1793,1977,2428,2357,2246,2363,2372,1766,2007,2264,2585,2575,2202,1705,1149,766,1016,3770,1563,7341,3222,13532,29293,28238,26854,9413,8158,6838,2931,40.9,102.4,66.3,32.0,34.3,17997,39.3,17582,42.1,60030,42.337078,-88.044326,66434016.0,3295954.0,25.65,1.273,0.193986566442774,0.2010659371757381,0.1721584436070458,0.994691275334276,0.3089597100723737,B,9,"A,B,C_10mi_C10",10,"A,B,C",153,117759.24,5436074,582885,2190.53
